Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
1,4.44426791040454,3,2,25.9845332941224,69.5789521862924,1
2,4.38135010171614,3,2,26.087081050228,52.0765250686689,1
1,5.86589393029397,3,1,27.234414924687,74.385209137915,1
3,4.71756547562981,1,1,17.3214528101383,35.0561338061395,1
1,8.8487222773865,1,2,15.5302262108324,30.567682238371,1
2,9.35535399093987,3,2,27.8657643688471,62.4605151058032,1
3,6.98349103535431,2,3,31.069618607697,75.0579005245494,1
3,4.2213216841272,1,2,30.0122950328172,77.5205742038279,1
1,4.30887250749994,1,2,23.2523535382285,61.0066298900768,1
1,5.43737134400183,2,2,21.8160708050604,53.1849202469991,1
2,6.20669879631552,3,3,31.5291493221548,70.6897509853474,1
2,8,3,2,25,60,1
1,6,1,3,22,55,1
1,5.229,1,2,24.7,52.1,1
2,7.019,3,2,22.5,55.4,1
3,5.667,2,2,30.3,73.6,1
2,4.753,3,1,18.7,47.4,1
2,7.245,3,3,30.4,63.4,1
1,4.918,1,1,24.3,54.9,1
3,6.217,3,2,28.9,56.7,1
1,6.762,3,2,22.9,46.5,1
2,9.104,1,1,28.2,62.1,1
1,8.019,2,2,27.3,55.3,1
2,5.124,3,2,27.1,62.3,1
1,7.289,1,1,28.6,60.9,1
3,8.846,2,2,27.7,56.8,1
2,7.321,3,1,20.3,47.3,1
1,6.127,1,2,22.1,55.7,1
3,7.528,2,1,30.5,60.1,1
2,8.273,3,2,27.9,69.5,1
0,7.945,2,1,27,57.6,1
0,7.456,1,3,24.6,55.9,1
0,5.70904296626481,3,3,18.5487908755945,44.0481594796115,1
0,6.341,2,2,30.9,69.1,1
0,4.18857511412041,1,2,23.6770329847595,48.5321073533445,1
0,8.239,3,2,30.7,68.3,1
0,6.134,3,3,27.4,70.3,1
1,8.892768570729,1,3,23.1790588882854,44.6605385849032,0
1,8.2411440630857,1,3,18.4658864014169,46.4332272684958,0
2,8.37404300824592,1,2,18.1287408534217,63.6259228038519,0
1,5.9853881491159,1,1,29.7579383339154,57.4764441161868,0
3,7.82534482813128,1,1,22.1194535730252,37.1495841026418,0
3,9.32327645545796,2,3,30.1569222092874,68.0755315858736,0
2,8.27946872333797,1,3,15.9200528404351,34.2053403057499,0
3,7.05142414698822,3,3,27.7018730173529,79.3000531911435,0
3,7.2360534514939,2,1,24.1650578098303,67.3022439632712,0
1,7.06448381546539,2,3,16.8888592151186,32.1579955975288,0
3,5.93921759212453,1,1,31.2893696517787,78.4651267809549,0
3,9.83069249632576,2,2,27.5788569355977,52.7270532383887,0
3,7.65738600387938,2,2,31.1366947853453,74.5131891945458,0
2,5.452331629069,3,3,30.0174213558299,78.7197403833083,0
3,8.03281328443527,3,2,30.0908574816936,79.3105372239801,0
2,7.21464810444855,2,3,22.7840335746833,75.5463592246921,0
1,7,3,2,30,50,0
2,7.445,3,1,18.3,48.7,0
2,8.318,2,3,20.1,62.5,0
3,5.932,2,1,17.8,46.2,0
3,9.128,2,2,15.7,40.6,0
2,7.627,1,2,23.9,69.8,0
1,5.689,2,1,20.8,57.5,0
2,8.902,3,1,15.2,43.7,0
2,8.556,1,1,19.6,60.7,0
1,4.372,2,2,27.2,55.2,0
3,7.428,3,3,26.9,68.2,0
2,8.745,2,3,20.6,70.5,0
1,7.134,1,3,31,52.6,0
3,8.317,2,3,27.5,60.3,0
1,5.334,3,2,17.6,57.7,0
3,6.658,1,3,27.8,54.6,0
1,6.348,2,3,22.6,63.1,0
3,7.392,1,3,31.1,68.6,0
2,8.721,3,3,24.1,55.6,0
3,9.263,2,3,22.4,69.2,0
2,6.817,3,3,26.3,61.1,0
3,6.456,2,3,24.9,70.8,0
1,5.922,1,3,26.8,70.6,0
3,9.034,2,3,31.7,61,0
2,5.652,3,3,28,70.2,0
3,6.732,2,3,21.7,56.9,0
1,6.56264673175754,3,1,18.9158226957859,41.1797919259726,0
1,7.81846246758268,1,2,22.9700946879475,70.6399783628751,0
1,6.698,3,3,21.5,69.6,0
1,9.01181497353543,2,3,33.1076395283853,77.4899956645962,0
1,9.872,1,1,17.1,49.7,0
1,7.318,2,3,22.3,68.5,0
1,5.51069377495218,2,1,29.7014208760777,59.215715596155,0
1,7.528,2,3,22,70.4,0
1,9.121,1,3,26.1,61.9,0
1,5.36761097525165,1,1,33.1070128391213,73.429956409473,0
1,6.356,3,3,30.8,63.7,0
1,4.776,2,3,24.8,70.7,0
